,0
0,-0.96178979
1,-0.23917986
2,-0.23212402
3,-0.2245342
4,-1.71852744
5,-0.25244606
6,-0.70807356
7,-2.07269645
8,-0.40352401
9,-0.65268344
10,-1.05090392
11,-0.08804913
12,-0.51288158
13,-0.19405423
14,-0.62806863
15,-1.99370205
16,-0.1056308
17,-1.53708804
18,-1.42091131
19,-2.4368856
20,-0.81119192
21,-0.52126473
22,-2.35101843
23,0.10267098
24,-0.17425123
25,-0.34821951
26,-1.04184127
27,-0.47194067
28,-0.25883618
29,-0.93448347
30,-0.3976385
31,-0.91926754
32,-0.37985542
33,-1.39156711
34,-2.16277623
35,-0.39628947
36,-0.43708149
37,-0.66539854
38,-0.1934417
39,-0.75807929
40,-1.36432159
41,-0.74310488
42,-0.57619452
43,-1.80293298
44,-0.38207579
45,-0.95824027
46,-0.23958017
47,-1.23103976
48,-0.84340107
49,-1.08316875
50,-0.19093898
51,-0.26658115
52,-0.69363737
53,-1.06321299
54,-0.18085641
55,-0.48473349
56,-1.3118434
57,-1.0116632
58,-0.45440874
59,-1.69262898
60,-2.28522992
61,-0.32850105
62,-0.29507414
63,-0.16844949
