,0
0,0.330894768
1,-0.110427655
2,0.152134389
3,-0.0141505832
4,-0.110114209
5,0.0643780008
6,-0.331351608
7,-3.2416312e-05
8,-0.0866694152
9,-0.243289545
10,-0.0318899713
11,-0.0865260959
12,0.0868888572
13,0.0349683464
14,0.350539565
15,-0.0979707837
16,-0.0860239118
17,0.0707573816
18,0.221509531
19,-0.0325236097
20,0.0935018882
21,0.0115607278
22,-0.0069650216
23,-0.101802953
24,-0.227781937
25,0.148052946
26,-0.0724975988
27,0.0341647714
28,0.338782221
29,-0.0634312034
30,0.0776032209
31,-0.207375959
32,-0.12202806
33,0.0157199409
34,0.0600569956
35,-0.156111583
36,-0.37758705
37,0.0375599861
38,0.188925177
39,0.034226276
40,-0.297316462
41,-0.220466271
42,-0.179857984
43,0.044312086
44,-0.00671669748
45,-0.117287055
46,0.188878566
47,-0.123829372
48,0.268245697
49,0.0451526456
50,-0.0390087254
51,0.044106748
52,0.0712400377
53,0.0226446167
54,0.0799404308
55,0.0147116547
56,-0.0873291492
57,0.202367589
58,0.205726564
59,0.000922936597
60,0.00383489183
61,0.0237816684
62,-0.0268267673
63,-0.093232654
64,-0.0244291797
65,-0.269909978
66,-0.0817646384
67,-0.133107543
68,-0.221577898
69,-0.200865239
70,-0.0107366778
71,0.263879478
72,0.0825692192
73,-0.234877601
74,-0.391623169
75,0.270956069
76,-0.33956635
77,0.0990512669
78,-0.168515652
79,0.162261546
80,0.057302881
81,0.021157641
82,-0.182015076
83,-0.0986716375
84,0.150624618
85,-0.213099122
86,0.0768803284
87,0.194133297
88,0.219930634
89,-0.516472757
90,0.1502451
91,0.260711104
92,-0.107746698
93,0.0346583463
94,0.0232200809
95,-0.135715872
96,0.395434797
97,-0.210701466
98,-0.00708826398
99,0.0939090326
100,0.145202458
101,0.0743668824
102,-0.0844765976
103,0.118531212
104,0.271499515
105,0.0508497581
106,0.15331313
107,-0.253221601
108,-0.0956610218
109,0.355072528
110,-0.186983272
111,0.100654185
112,0.0681534111
113,0.156118497
114,-0.123232722
115,-0.125350177
116,0.0224199146
117,-0.413690686
118,0.0517796911
119,0.238932759
120,-0.0536320768
121,0.169182494
122,0.290419757
123,0.156619534
124,-0.0561507829
125,0.264244974
126,-0.0853319094
127,-0.219011202
128,0.158428147
129,0.226544023
130,-0.212903231
131,-0.140441209
132,-0.0678042024
133,-0.10506615
134,0.241482288
135,-0.111567818
136,-0.261158288
137,-0.364694864
138,-0.0289271679
139,0.0861199647
140,-0.14151822
141,-0.164185598
142,0.192849159
143,-0.100889876
144,-0.119819663
145,-0.18087247
146,0.0155053958
147,0.48493278
148,-0.0330148675
149,-0.118578926
150,-0.15779911
151,-0.240415767
152,0.0393581204
153,0.130165994
154,-0.0626169443
155,-0.277869761
156,0.0804645121
157,-0.433533281
158,0.0445367992
159,0.0851983353
160,-0.121508218
161,-0.295272022
162,-0.0262689032
163,-0.3401227
164,-0.119518779
165,0.0711267218
166,-0.137028098
167,-0.306339264
168,0.0850510299
169,-0.261712015
